STATE/UT,Year,TYPE,0-3 hrs. (Night),3-6 hrs. (Night),6-9 hrs (Day),9-12 hrs (Day),12-15 hrs (Day),15-18 hrs (Day),18-21 hrs (Night),21-24 hrs (Night),Total
Andhra Pradesh,2001,Road Accidents,2239,3265,3198,3729,3604,3792,4098,3263,27188
Andhra Pradesh,2001,Rail-Road Accidents,102,76,63,76,49,151,70,36,623
Andhra Pradesh,2001,Other Railway Accidents,92,93,108,119,92,83,46,41,674
Andhra Pradesh,2002,Road Accidents,2931,3857,3671,4255,4153,4778,4844,4088,32577
Andhra Pradesh,2002,Rail-Road Accidents,1,0,2,0,0,1,0,0,4
Andhra Pradesh,2002,Other Railway Accidents,101,151,279,257,142,82,105,68,1185
Andhra Pradesh,2003,Road Accidents,3158,4865,3749,4319,4266,4853,5218,4109,34537
Andhra Pradesh,2003,Rail-Road Accidents,19,36,72,55,42,22,18,27,291
Andhra Pradesh,2003,Other Railway Accidents,33,48,91,94,98,52,40,34,490
Andhra Pradesh,2004,Road Accidents,3191,4770,4598,5030,4033,4971,6031,4454,37078
Andhra Pradesh,2004,Rail-Road Accidents,16,13,15,14,19,16,13,13,119
Andhra Pradesh,2004,Other Railway Accidents,68,113,166,118,109,129,144,145,992
Andhra Pradesh,2005,Road Accidents,3826,6011,5002,4137,4261,4524,5096,4432,37289
Andhra Pradesh,2005,Rail-Road Accidents,0,0,1,1,0,0,1,3,6
Andhra Pradesh,2005,Other Railway Accidents,287,233,89,105,117,131,206,222,1390
Andhra Pradesh,2006,Road Accidents,3635,5525,4270,5108,4918,6101,6757,5009,41323
Andhra Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Other Railway Accidents,164,223,299,318,268,271,201,214,1958
Andhra Pradesh,2007,Road Accidents,4054,4890,4748,5826,5547,6236,6719,5574,43594
Andhra Pradesh,2007,Rail-Road Accidents,0,0,0,0,1,2,0,0,3
Andhra Pradesh,2007,Other Railway Accidents,171,229,331,334,270,296,212,231,2074
Andhra Pradesh,2008,Road Accidents,4051,4492,4532,5558,5620,6045,6453,5355,42106
Andhra Pradesh,2008,Rail-Road Accidents,0,1,1,2,4,0,2,1,11
Andhra Pradesh,2008,Other Railway Accidents,170,275,320,298,273,229,214,166,1945
Andhra Pradesh,2009,Road Accidents,3718,4433,4569,5332,5320,6154,6302,6183,42011
Andhra Pradesh,2009,Rail-Road Accidents,1,0,1,0,0,1,1,0,4
